istante_utc,istante_italia,localita,stazione,vento_medio_kn,raffica_kn,direzione_gradi,direzione_testo,vento_medio_ms,raffica_ms,temperatura_c,umidita_pct,punto_rugiada_c,pressione_hpa,radiazione_wm2,uv,pioggia_mm,pioggia_giorno_mm
2026-07-31 23:39:40,2026-08-01 01:39:40,torbole,circolo_surf_torbole,3.9,9.9,8.0,N,2.0,5.1,26.5,59.0,17.82,1007.2,0.0,0.0,0.0,0.0
2026-08-01 01:19:40,2026-08-01 03:19:40,torbole,circolo_surf_torbole,8.7,10.9,323.0,NW,4.5,5.6,25.6,60.0,17.25,1007.37,0.0,0.0,0.0,0.0
2026-08-01 04:46:40,2026-08-01 06:46:40,torbole,circolo_surf_torbole,5.1,8.9,26.0,NNE,2.6,4.6,21.8,83.0,18.78,1007.88,10.48,0.0,0.0,25.4
2026-08-01 07:19:40,2026-08-01 09:19:40,torbole,circolo_surf_torbole,11.1,15.9,41.0,NE,5.7,8.2,25.0,69.0,18.91,1006.79,379.17,3.0,0.0,25.4
2026-08-01 09:31:40,2026-08-01 11:31:40,torbole,circolo_surf_torbole,6.6,15.9,46.0,NE,3.4,8.2,28.9,54.0,18.64,1005.2,594.44,5.0,0.0,25.4
2026-08-01 11:04:41,2026-08-01 13:04:41,torbole,circolo_surf_torbole,1.0,2.9,201.0,SSW,0.5,1.5,32.6,45.0,19.1,1003.98,869.87,8.0,0.0,25.4
2026-08-01 12:11:41,2026-08-01 14:11:41,torbole,circolo_surf_torbole,0.6,2.9,214.0,SW,0.3,1.5,31.7,48.0,19.32,1003.17,371.05,3.0,0.0,25.4
2026-08-01 14:01:40,2026-08-01 16:01:40,torbole,circolo_surf_torbole,5.2,9.9,315.0,NW,2.7,5.1,30.6,54.0,20.21,1003.17,763.01,7.0,0.0,25.4
2026-08-01 15:15:40,2026-08-01 17:15:40,torbole,circolo_surf_torbole,4.3,7.0,8.0,N,2.2,3.6,31.8,51.0,20.39,1002.8,190.74,1.0,0.0,25.4
2026-08-01 16:25:40,2026-08-01 18:25:40,torbole,circolo_surf_torbole,3.7,6.0,33.0,NNE,1.9,3.1,32.0,50.0,20.25,1001.78,225.25,2.0,0.0,25.4
2026-08-01 17:33:40,2026-08-01 19:33:40,torbole,circolo_surf_torbole,1.9,5.1,56.0,NE,1.0,2.6,30.2,57.0,20.72,1002.49,31.96,0.0,0.0,25.4
2026-08-01 18:37:41,2026-08-01 20:37:41,torbole,circolo_surf_torbole,2.9,6.0,11.0,N,1.5,3.1,28.8,63.0,21.04,1003.0,4.41,0.0,0.0,25.4
2026-08-01 19:55:40,2026-08-01 21:55:40,torbole,circolo_surf_torbole,6.0,8.0,350.0,N,3.1,4.1,28.5,56.0,18.85,1004.59,0.0,0.0,0.0,25.4
2026-08-01 21:03:40,2026-08-01 23:03:40,torbole,circolo_surf_torbole,13.8,21.8,331.0,NNW,7.1,11.2,27.8,54.0,17.62,1006.18,0.0,0.0,0.0,25.4
