2026-08-01 23:12:47 UTC  OK  misura 2026-08-02 01:12:40 (ora italiana), nuova · vento 8.7 kn, raffica 19.8 kn, dir 329.0° · coda 27 punti di dettaglio + 31 ore · ritardo 0 min
2026-08-02 00:17:14 UTC  OK  misura 2026-08-02 02:16:41 (ora italiana), nuova · vento 8.6 kn, raffica 10.9 kn, dir 22.0° · coda 27 punti di dettaglio + 32 ore · ritardo 1 min
2026-08-02 04:01:39 UTC  OK  misura 2026-08-02 06:00:40 (ora italiana), nuova · vento 13.8 kn, raffica 20.8 kn, dir 23.0° · coda 27 punti di dettaglio + 33 ore · ritardo 1 min
2026-08-02 06:44:04 UTC  OK  misura 2026-08-02 08:43:41 (ora italiana), nuova · vento 14.2 kn, raffica 18.9 kn, dir 25.0° · coda 27 punti di dettaglio + 34 ore · ritardo 0 min
2026-08-02 09:03:08 UTC  OK  misura 2026-08-02 11:02:40 (ora italiana), nuova · vento 16.3 kn, raffica 22.7 kn, dir 59.0° · coda 27 punti di dettaglio + 35 ore · ritardo 0 min
2026-08-02 10:49:19 UTC  OK  misura 2026-08-02 12:48:40 (ora italiana), nuova · vento 7.8 kn, raffica 10.9 kn, dir 33.0° · coda 27 punti di dettaglio + 36 ore · ritardo 1 min
2026-08-02 11:54:30 UTC  OK  misura 2026-08-02 13:53:40 (ora italiana), nuova · vento 0.8 kn, raffica 2.9 kn, dir 347.0° · coda 28 punti di dettaglio + 37 ore · ritardo 1 min
2026-08-02 13:42:19 UTC  OK  misura 2026-08-02 15:41:40 (ora italiana), nuova · vento 3.3 kn, raffica 3.9 kn, dir 138.0° · coda 28 punti di dettaglio + 38 ore · ritardo 1 min
2026-08-02 14:51:45 UTC  OK  misura 2026-08-02 16:51:40 (ora italiana), nuova · vento 2.1 kn, raffica 5.1 kn, dir 230.0° · coda 29 punti di dettaglio + 39 ore · ritardo 0 min
2026-08-02 16:05:27 UTC  OK  misura 2026-08-02 18:04:41 (ora italiana), nuova · vento 3.3 kn, raffica 8.0 kn, dir 18.0° · coda 29 punti di dettaglio + 40 ore · ritardo 1 min
2026-08-02 17:13:23 UTC  OK  misura 2026-08-02 19:12:40 (ora italiana), nuova · vento 3.5 kn, raffica 7.0 kn, dir 326.0° · coda 29 punti di dettaglio + 41 ore · ritardo 1 min
