istante_utc,istante_italia,localita,stazione,vento_medio_kn,raffica_kn,direzione_gradi,direzione_testo,vento_medio_ms,raffica_ms,temperatura_c,umidita_pct,punto_rugiada_c,pressione_hpa,radiazione_wm2,uv,pioggia_mm,pioggia_giorno_mm
2026-08-02 22:38:40,2026-08-03 00:38:40,torbole,circolo_surf_torbole,6.6,10.9,351.0,N,3.4,5.6,27.4,53.0,16.96,1007.2,0.0,0.0,0.0,0.0
2026-08-02 23:42:40,2026-08-03 01:42:40,torbole,circolo_surf_torbole,4.7,13.8,347.0,NNW,2.4,7.1,26.9,55.0,17.08,1007.2,0.0,0.0,0.0,0.0
2026-08-03 01:17:40,2026-08-03 03:17:40,torbole,circolo_surf_torbole,13.2,18.9,55.0,NE,6.8,9.7,26.5,57.0,17.28,1007.0,0.0,0.0,0.0,0.0
2026-08-03 04:55:40,2026-08-03 06:55:40,torbole,circolo_surf_torbole,11.9,15.0,343.0,NNW,6.1,7.7,25.1,61.0,17.04,1007.78,38.67,0.0,0.0,0.0
