istante_utc,istante_italia,localita,stazione,vento_medio_kn,raffica_kn,direzione_gradi,direzione_testo,vento_medio_ms,raffica_ms,temperatura_c,umidita_pct,punto_rugiada_c,pressione_hpa,radiazione_wm2,uv,pioggia_mm,pioggia_giorno_mm
2026-07-30 22:15:02,2026-07-31 00:15:02,torbole,circolo_surf_torbole,3.5,5.1,30.0,NNE,1.8,2.6,28.3,58.0,19.23,1008.99,0.0,0.0,0.0,0.0
2026-07-30 23:29:02,2026-07-31 01:29:02,torbole,circolo_surf_torbole,3.9,6.0,3.0,N,2.0,3.1,28.1,59.0,19.32,1008.99,0.0,0.0,0.0,0.0
2026-07-31 01:08:02,2026-07-31 03:08:02,torbole,circolo_surf_torbole,5.1,8.0,7.0,N,2.6,4.1,27.0,61.0,18.82,1009.1,0.0,0.0,0.0,0.0
2026-07-31 04:42:02,2026-07-31 06:42:02,torbole,circolo_surf_torbole,10.9,13.8,11.0,N,5.6,7.1,26.9,54.0,16.79,1008.99,32.65,0.0,0.0,0.0
2026-07-31 07:39:40,2026-07-31 09:39:40,torbole,circolo_surf_torbole,9.5,11.9,19.0,NNE,4.9,6.1,30.6,46.0,17.64,1008.79,434.1,4.0,0.0,0.0
2026-07-31 10:18:40,2026-07-31 12:18:40,torbole,circolo_surf_torbole,1.0,1.9,82.0,E,0.5,1.0,34.4,41.0,19.22,1007.0,510.43,4.0,0.0,0.0
2026-07-31 12:24:41,2026-07-31 14:24:41,torbole,circolo_surf_torbole,11.3,12.8,201.0,SSW,5.8,6.6,31.1,54.0,20.68,1005.68,833.21,8.0,0.0,0.0
2026-07-31 15:00:40,2026-07-31 17:00:40,torbole,circolo_surf_torbole,7.2,9.9,167.0,SSE,3.7,5.1,31.6,58.0,22.31,1004.9,511.25,4.0,0.0,0.0
2026-07-31 16:55:40,2026-07-31 18:55:40,torbole,circolo_surf_torbole,2.3,2.9,10.0,N,1.2,1.5,32.4,51.0,20.94,1004.59,69.85,0.0,0.0,0.0
2026-07-31 18:24:41,2026-07-31 20:24:41,torbole,circolo_surf_torbole,1.4,3.9,10.0,N,0.7,2.0,31.1,50.0,19.43,1005.0,8.99,0.0,0.0,0.0
2026-07-31 20:03:40,2026-07-31 22:03:40,torbole,circolo_surf_torbole,6.0,11.9,10.0,N,3.1,6.1,30.3,48.0,18.05,1006.79,0.0,0.0,0.0,0.0
2026-07-31 21:19:40,2026-07-31 23:19:40,torbole,circolo_surf_torbole,5.2,8.0,318.0,NW,2.7,4.1,28.3,55.0,18.38,1007.47,0.0,0.0,0.0,0.0
